id	parent_paper	child_paper
0	19659	186619
1	21431	556983
2	22378	1743629
3	22391	551207
4	24247	630379
5	25699	415818
6	27720	923743
7	30413	625185
8	31776	620017
9	32027	1909693
10	32258	2240214
11	32690	2034331
12	33703	33703
13	33738	1910210
14	33738	240413
15	35110	3335151
16	35501	800184
17	35506	50493
18	35506	646204
19	35768	1959188
20	35768	1629693
21	35864	569478
22	37099	2047006
23	37364	1963978
24	38663	2951647
25	40650	1392500
26	41410	918090
27	43400	1115707
28	44126	43962
29	48709	1733716
30	49429	522482
31	53528	1796637
32	55193	1440790
33	56602	1882480
34	57252	47288
35	57813	1568200
36	58885	470529
37	59294	596383
38	59294	2133536
39	59294	2214486
40	60499	1560905
41	62076	2976931
42	62384	897087
43	63877	698813
44	65292	1170727
45	65640	1703852
46	66518	4496681
47	67583	132140
48	68721	2419577
49	68788	1955375
50	69539	611988
51	70447	2809584
52	70528	91225
53	70666	70666
54	70900	778482
55	71453	1925581
56	71979	528268
57	73445	325162
58	74604	2851445
59	74604	909275
60	74871	2815399
61	75161	1549162
62	75739	1950004
63	76383	620017
64	76383	208476
65	76639	1236373
66	76945	2842622
67	79414	314381
68	79682	2821130
69	85250	4432471
70	86009	621368
71	86282	2871723
72	86307	1093348
73	86307	387246
74	88573	1157274
75	89372	2441372
76	89477	2264446
77	89665	4496681
78	90260	2158740
79	90602	90602
80	91225	1727622
81	92295	854643
82	92807	1134877
83	93482	770868
84	93911	554125
85	94444	1452295
86	94546	1187462
87	95401	2479613
88	95401	295132
89	96456	687845
90	98989	98989
91	98989	98989
92	99085	2888368
93	99085	2959810
94	99147	3070174
95	102479	1146237
96	102759	1966907
97	102986	2494135
98	107572	2800956
99	109832	1955375
100	110276	970380
101	113557	650127
102	114398	3369777
103	115800	415818
104	118710	346058
105	119586	491486
106	120848	1038247
107	121545	2268089
108	122234	3326266
109	123913	2187321
110	123997	2033405
111	124295	1638444
112	124353	1062861
113	124584	683211
114	124659	1278300
115	126137	3388100
116	127485	4460922
117	130029	1285576
118	131368	925429
119	131547	2917078
120	131547	131547
121	131583	2385504
122	133309	1115707
123	135088	1991030
124	136192	136192
125	136271	3122520
126	137973	292960
127	137973	157459
128	138063	997503
129	138063	2330992
130	138851	138851
131	140686	1955375
132	140686	926915
133	141355	822482
134	141629	4445569
135	144135	2107556
136	146182	1906010
137	148298	2829913
138	148595	856812
139	148917	2822588
140	149042	815424
141	149209	2321641
142	149850	240491
143	150566	2815399
144	151253	59727
145	151409	1993868
146	151409	1215506
147	154023	608115
148	155237	2090288
149	155361	792702
150	155361	578522
151	155634	2815399
152	155809	503934
153	157031	1427726
154	157072	927919
155	157459	292960
156	158589	3501243
157	159349	2815399
158	161551	3041303
159	162667	2250394
160	162939	2821907
161	166489	2936295
162	167903	2135691
163	169025	1316747
164	169258	712356
165	169258	4446711
166	169258	1654555
167	169258	2403428
168	169539	2328335
169	170818	2346208
170	171143	1578987
171	172000	1829968
172	172725	2241295
173	173799	173799
174	175878	1976537
175	177667	1732889
176	178639	1778550
177	179405	2090288
178	182372	1959279
179	185430	2897076
180	185505	871788
181	185728	558897
182	187919	1376412
183	189281	1490297
184	190038	2360675
185	190038	500688
186	190375	783891
187	191091	1731188
188	192069	2936079
189	192294	1326673
190	192586	4475415
191	193165	1427883
192	194919	4432471
193	198042	4435609
194	204420	3234875
195	207131	2007391
196	207400	3388100
197	207581	1950004
198	208332	2296407
199	208701	882099
200	210240	2385504
201	210581	210581
202	210765	2982330
203	210950	556054
204	211191	1559026
205	211372	141629
206	212735	621368
207	213567	27020
208	213567	1621949
209	214387	1921620
210	214548	36530
211	216313	995949
212	216313	2250870
213	216313	2286540
214	216428	1241823
215	216655	2897076
216	219702	2790473
217	219794	75413
218	221325	558897
219	224114	1953695
220	224387	1599939
221	228610	2297099
222	230291	1599939
223	231093	829213
224	231802	115460
225	232566	702131
226	232566	235588
227	232752	60601
228	233570	517248
229	235410	1850715
230	235410	2280012
231	235479	569478
232	235479	782946
233	235588	702131
234	235588	235588
235	236121	2027915
236	236748	1215506
237	237214	2347412
238	237214	490518
239	237642	351856
240	237642	334717
241	240181	3334888
242	240620	2250095
243	243487	3392725
244	244006	3504813
245	245372	1796637
246	245982	4496681
247	247582	2462080
248	247791	765194
249	249441	2240214
250	249805	2052298
251	249805	105294
252	251206	1277416
253	252274	436288
254	252274	1742023
255	256701	2290976
256	257134	1404156
257	259008	3056938
258	259232	1997697
259	261090	2888368
260	261090	1557737
261	261992	1219237
262	261992	4439380
263	263707	656733
264	264224	1889285
265	264283	656733
266	267465	1118415
267	267465	267465
268	268442	1854230
269	269860	908135
270	269875	1966365
271	271759	440086
272	272871	2125574
273	273209	726426
274	274467	671505
275	275121	275121
276	276429	2871723
277	276429	204404
278	276506	856812
279	277114	372518
280	277516	277516
281	277679	483533
282	278096	638764
283	278295	2231006
284	280081	2269142
285	281012	1243842
286	281040	1809251
287	281241	339959
288	283742	658371
289	283886	1651738
290	284428	854643
291	284435	1887685
292	287007	910366
293	287807	2858489
294	288104	1207530
295	288880	2444969
296	289005	1641439
297	291267	1421015
298	291663	603082
299	295132	2479613
300	295448	1603794
301	295479	1863563
302	295687	2047006
303	295976	1818799
304	296117	1706158
305	296944	516240
306	297311	2419577
307	297729	683069
308	299908	678253
309	300017	1516950
310	302976	2481104
311	303504	1185698
312	304258	1666335
313	304374	854643
314	304539	2832646
315	304539	2345682
316	304657	357825
317	304657	2279260
318	304676	2196734
319	304998	496044
320	305180	567858
321	306004	1422335
322	306095	2107556
323	306903	821273
324	308293	1595857
325	309306	2854658
326	309362	2107990
327	309512	2239167
328	310695	1758121
329	310695	2793740
330	314988	257993
331	316843	2454696
332	320382	1963978
333	324063	2243399
334	325162	220312
335	325795	531276
336	326808	326808
337	328465	1856210
338	332099	1979536
339	333557	2206239
340	336700	2804614
341	338867	2075287
342	340383	1521826
343	343390	694310
344	343390	1912413
345	343390	1652214
346	343390	585095
347	343390	60601
348	343390	2206866
349	344711	635691
350	344711	777880
351	344735	2853915
352	346354	1743629
353	347386	1479350
354	347386	289134
355	348803	2272421
356	348803	857598
357	348841	1017301
358	349380	1852222
359	352144	1012063
360	352391	553363
361	352615	412000
362	353379	2240735
363	353476	734360
364	353480	173799
365	354194	2407401
366	354248	1357094
367	354921	689369
368	354921	2979414
369	354921	2979414
370	356202	2151630
371	356257	3018012
372	356574	1236373
373	356800	2047006
374	357154	3070174
375	357921	2789368
376	357930	928563
377	357930	2853915
378	359380	2828237
379	361461	1360797
380	363443	1907627
381	366264	221305
382	367004	1183045
383	367691	2854658
384	367964	1244482
385	368351	4439547
386	368461	621368
387	368891	2123402
388	369166	1729450
389	370259	370259
390	371309	799750
391	371309	1292852
392	371525	1093498
393	373539	1560905
394	374407	2027915
395	374509	446131
396	374741	2419577
397	376441	1250644
398	377421	1319870
399	378418	140560
400	378418	196503
401	378748	378748
402	378987	3397113
403	381218	503633
404	382158	2443610
405	383118	1931431
406	383118	2901006
407	383870	1107928
408	384212	1490903
409	384712	1596131
410	385331	2043754
411	387246	1093348
412	389634	2842622
413	395487	1540748
414	396084	2370558
415	396877	1638444
416	396991	1223539
417	398311	707446
418	398566	2373832
419	399486	399486
420	400904	3042245
421	404228	1871506
422	406247	485508
423	406870	327428
424	408260	3070174
425	408551	2358266
426	409035	1599939
427	409945	567063
428	410676	317713
429	411495	3388100
430	413075	2134712
431	413525	2980404
432	413837	2821832
433	413869	1030092
434	414057	1363256
435	414247	404842
436	415328	3245429
437	415722	2821832
438	415818	1950004
439	417203	2262751
440	418244	418244
441	418244	2474523
442	418561	2990726
443	418561	2976931
444	419314	1955375
445	420017	2007391
446	420935	1281844
447	423440	1408279
448	425537	1666335
449	426090	1638374
450	426633	2165409
451	427378	834476
452	429637	1925867
453	430791	430791
454	430910	2256520
455	431461	2419577
456	432176	1196789
457	432474	2364565
458	433340	1507831
459	434777	976027
460	435205	2368635
461	435205	2007391
462	436317	1134523
463	436959	1662982
464	437691	2895536
465	440086	508033
466	440220	1094724
467	440302	1339276
468	440533	872420
469	441709	2287999
470	442335	2089338
471	443938	443938
472	444337	856812
473	445425	185430
474	445750	808306
475	446875	1465950
476	448420	325162
477	448784	325162
478	448784	73445
479	448784	807275
480	449247	19561
481	450581	1289567
482	450773	2208565
483	451531	884701
484	452434	2419577
485	452630	2167558
486	454402	2007391
487	455091	1668868
488	456152	1340196
489	456780	520196
490	458485	2199080
491	459986	2435549
492	460032	506335
493	460523	387134
494	462027	1599939
495	462401	3310758
496	462401	1129161
497	462800	1955375
498	464019	2307334
499	464019	2918327
500	464571	635691
501	467214	3070174
502	467943	1290436
503	469030	2328613
504	469420	553363
505	469478	1984781
506	470408	1627050
507	470503	1599939
508	470520	131583
509	470529	2419577
510	471029	2040303
511	472726	1435886
512	476492	551195
513	476698	1042809
514	478695	2250428
515	478935	1838192
516	480536	801246
517	483102	1186117
518	484171	484171
519	484502	1742023
520	484654	865579
521	484663	1955375
522	484932	703796
523	484932	2286540
524	485172	4198732
525	485172	2489591
526	485353	1477796
527	491180	491180
528	491486	470301
529	496543	1955375
530	497416	1038247
531	497416	1724225
532	497655	1813584
533	498733	2096250
534	502109	1906328
535	502487	328839
536	502487	3154218
537	502575	2125904
538	502957	1826294
539	503199	2875609
540	503533	1451872
541	507089	2150184
542	507604	2222495
543	508258	334496
544	510151	1923139
545	510502	1951019
546	512744	3070174
547	513706	190817
548	515180	1660688
549	515705	705277
550	516240	647423
551	517287	1828308
552	518386	1934792
553	519176	1599939
554	519206	290673
555	519206	1342634
556	519669	882820
557	520111	494465
558	520370	2814769
559	520684	904657
560	522312	441383
561	522380	173799
562	522873	1443485
563	524941	2851808
564	525816	2007323
565	526010	1350279
566	526399	2286540
567	526965	1015193
568	527523	2186680
569	527842	2006389
570	527876	791515
571	528360	2815399
572	528903	1955375
573	530579	1925581
574	531276	1664291
575	533967	98117
576	536626	1934287
577	536626	1802632
578	538250	2288172
579	538591	4434332
580	538863	538863
581	539309	1085633
582	541061	1955375
583	542698	2093417
584	543202	154536
585	543715	1221743
586	544590	2255338
587	545765	1591897
588	546463	2879674
589	546971	2004888
590	547465	1319870
591	547534	547534
592	548568	735001
593	548787	1171541
594	549650	878714
595	549695	1304416
596	554363	249330
597	554633	1225613
598	555746	52937
599	556510	1049946
600	557429	3070174
601	557474	2804004
602	557958	1564803
603	558269	996437
604	558532	1281091
605	558641	2477269
606	558897	1085938
607	559339	263442
608	559910	149123
609	559998	901451
610	561567	1955375
611	563567	1781935
612	563609	563609
613	564190	3488305
614	564542	1125542
615	564953	989385
616	565793	572358
617	565793	565793
618	565793	565793
619	567970	157459
620	568974	2807328
621	570971	1070410
622	571213	1512317
623	571292	1885351
624	571987	4146881
625	572180	2104459
626	574807	519369
627	575034	1675572
628	575727	1622871
629	575727	2796960
630	576560	2879555
631	577831	258784
632	577831	2243266
633	577989	1741430
634	578121	81366
635	578158	2479032
636	578522	2851675
637	580311	786234
638	581219	1848249
639	581384	2295658
640	581384	2260596
641	581987	2309906
642	582301	310695
643	582301	959359
644	584032	854643
645	584032	1459440
646	584211	2046772
647	585383	1828452
648	587587	1215506
649	588730	239858
650	588730	2891116
651	589427	618571
652	589427	932833
653	591145	1321633
654	591538	2851675
655	591816	2852840
656	592458	1700084
657	592458	2910988
658	592724	1955375
659	592986	1955375
660	593638	1322473
661	593638	2346208
662	594438	1326673
663	594690	2388441
664	596679	646204
665	597479	2437623
666	598478	1185270
667	599337	2910306
668	599675	2899692
669	601338	601338
670	604600	2393848
671	605084	650854
672	605084	1623979
673	605084	1182379
674	605663	4593605
675	606490	2854891
676	606608	1324924
677	606608	606608
678	606608	1247771
679	608817	59727
680	610862	610862
681	611537	2894649
682	612775	486763
683	612892	441042
684	616377	2878260
685	617326	1049547
686	618108	2033851
687	618108	618108
688	618571	3045743
689	619393	1334328
690	621564	836688
691	623087	1553680
692	623087	4442144
693	624563	3425889
694	624657	656733
695	625942	2479613
696	625942	303504
697	626214	4200554
698	627985	1939792
699	628100	2897076
700	629074	2925282
701	629634	2433845
702	630379	630379
703	630603	630603
704	630984	2319590
705	631014	852688
706	631420	1750485
707	632422	1303757
708	633021	875734
709	635707	1368481
710	635720	1181715
711	636756	1616880
712	637506	2798495
713	637572	2897076
714	639094	2139383
715	640253	2901017
716	641097	864000
717	642084	1638444
718	642375	1955375
719	642459	1920925
720	643340	1250644
721	643618	1157274
722	643902	1589276
723	643957	2027436
724	645137	3007997
725	645869	1863296
726	647149	2426917
727	647257	1115640
728	647257	1301957
729	647939	904180
730	647939	2819606
731	649685	893755
732	649956	1306035
733	652516	1168238
734	653428	998072
735	654024	3053341
736	654625	2282559
737	655829	1832130
738	656695	2879674
739	658167	220451
740	659351	2637912
741	659562	1275716
742	660500	1574122
743	661111	2232684
744	661128	60601
745	661128	2290623
746	661425	1278300
747	661702	2507237
748	663953	2443610
749	664152	1818799
750	665265	665265
751	666646	3071359
752	666646	2402684
753	668476	1531319
754	668721	1955375
755	668964	37959
756	668966	4198732
757	669132	1599939
758	669135	2050959
759	669325	2270117
760	669325	2449303
761	671036	671036
762	671491	611988
763	671966	1056872
764	672789	916118
765	673001	185430
766	673476	913229
767	675491	1716275
768	677124	47288
769	677667	498733
770	678132	986509
771	678899	994453
772	679427	1365461
773	680688	509161
774	680848	1430354
775	681118	1480192
776	681349	1609888
777	681652	1852214
778	681893	2935994
779	682075	1818799
780	682369	2419577
781	683112	1822926
782	683211	3070174
783	684064	1905313
784	684093	1414158
785	685665	1747434
786	687800	650854
787	688292	554633
788	689369	2333650
789	689569	1854372
790	690310	476746
791	690861	286711
792	691465	1884865
793	693067	2878461
794	694690	779820
795	695563	50651
796	695904	3074239
797	696826	507595
798	698276	1703747
799	698778	42169
800	700195	1365461
801	700860	1847075
802	700957	455016
803	702776	1639695
804	703589	1975970
805	703589	454838
806	704728	1031394
807	704728	1535499
808	704797	1898329
809	705886	1925581
810	706334	2039053
811	712264	117920
812	715536	1925867
813	715768	856812
814	716694	2224974
815	718269	317575
816	718269	2834419
817	718274	1526215
818	719180	40617
819	720009	1207136
820	720019	545423
821	720332	838925
822	720474	75105
823	720816	2885430
824	720898	2364681
825	721110	1321491
826	721420	2957701
827	723314	2482188
828	724418	1475545
829	724725	2789629
830	726860	2814491
831	726860	192768
832	730436	1155791
833	730926	1607476
834	732202	879146
835	732268	1896418
836	732408	1584750
837	732408	1278300
838	733012	415623
839	734918	734918
840	735465	2818432
841	736714	2019301
842	737322	1873908
843	738151	2136840
844	739446	2390479
845	739568	2422063
846	739582	2007391
847	741507	2796566
848	741507	2414716
849	742813	2844548
850	746345	1126315
851	747726	1150660
852	747973	794555
853	749015	3070174
854	750249	1263500
855	750774	1937230
856	752657	862563
857	753525	2814491
858	755739	1937050
859	755864	2027915
860	757546	242588
861	759345	369916
862	760020	297729
863	763098	2863917
864	763483	763483
865	765571	1226021
866	765749	1494841
867	766309	660500
868	766363	1812042
869	770100	696461
870	771532	1268317
871	772404	975044
872	774179	632309
873	774352	812924
874	774564	267258
875	775794	1334328
876	776964	1637072
877	777365	1078924
878	777734	1139655
879	779736	1031951
880	781431	2280449
881	781761	1302627
882	781858	1303757
883	781858	2242334
884	781932	1727622
885	783220	4437767
886	786078	2050959
887	786078	1215506
888	786436	3564040
889	789393	2844548
890	789575	789575
891	791430	2480612
892	791818	2019301
893	792605	1385354
894	793055	830839
895	793286	1006058
896	795983	2332184
897	796248	1787077
898	796439	1390248
899	797055	854643
900	799310	278676
901	801142	2260634
902	801162	376409
903	801544	2250394
904	801566	779820
905	801831	801831
906	802583	2482188
907	803294	3388100
908	804228	1232462
909	804774	1639695
910	806046	1665706
911	807535	2494884
912	809063	809063
913	811895	1237943
914	812723	2897076
915	814264	2111023
916	815053	3297245
917	819159	3070174
918	819589	2815399
919	820762	2254001
920	820977	2007391
921	821023	1334328
922	821273	821273
923	822023	192768
924	822216	1593755
925	822679	1553680
926	824524	1188013
927	824972	1785570
928	825359	1721536
929	825797	3057114
930	826342	2440016
931	826366	191403
932	826411	415464
933	827530	2435812
934	828167	719408
935	828703	2853206
936	828871	1955375
937	830009	155412
938	830260	2078665
939	831332	841774
940	831566	2869129
941	831566	1720507
942	831784	970380
943	832657	2135691
944	833051	102759
945	833076	2007391
946	833652	779820
947	834232	2413013
948	835528	372518
949	835775	1661910
950	838713	3070174
951	838986	1100549
952	840095	351169
953	840164	54707
954	840762	743225
955	840900	1085633
956	841774	831332
957	842820	2386260
958	844042	2019301
959	844154	74103
960	847162	644980
961	848745	1505213
962	849928	4442124
963	851161	791515
964	851958	2829401
965	852423	4460922
966	852688	916118
967	853136	2179504
968	854498	2146274
969	854855	981459
970	856812	170657
971	857180	113556
972	866047	1029405
973	866727	1871506
974	868962	1440790
975	871470	1455854
976	871735	2497992
977	871788	1391353
978	871945	871945
979	872012	1955375
980	872423	3070174
981	872971	1955375
982	873000	2239167
983	873935	2900470
984	874589	124295
985	875077	325162
986	875169	1259497
987	875171	1909693
988	875379	1046573
989	877393	789282
990	877514	770898
991	878092	993450
992	878299	830839
993	879182	1691487
994	880434	979558
995	880434	2923125
996	882333	85250
997	882677	2100919
998	884724	1370417
999	884740	1246208
1000	884745	299908
1001	884745	678253
1002	886014	1808554
1003	886671	2226368
1004	887148	2871723
1005	887551	812924
1006	887701	64921
1007	888237	2920982
1008	891564	1389173
1009	892159	1071331
1010	893054	794179
1011	893054	2896723
1012	894408	2040303
1013	894571	1955375
1014	894779	27020
1015	894779	894779
1016	895507	3034731
1017	898027	2407966
1018	898547	2011332
1019	900926	1123273
1020	901337	1955375
1021	902321	1963978
1022	903408	3070174
1023	904468	939597
1024	904706	1167033
1025	906856	1215506
1026	906861	1169112
1027	907740	591206
1028	908487	1916191
1029	908542	2789629
1030	909157	3301108
1031	909159	1656928
1032	909159	2049990
1033	909549	1326673
1034	909806	1115707
1035	910366	1733093
1036	912751	2230323
1037	914239	3013680
1038	914494	2130702
1039	914834	1928205
1040	915146	1639695
1041	915146	2829401
1042	915583	671505
1043	916608	2879674
1044	917124	3070174
1045	917390	2308531
1046	917417	1781967
1047	917950	2819712
1048	917960	727053
1049	918048	1295972
1050	918866	2859185
1051	918978	2467471
1052	920601	522711
1053	921327	1448041
1054	921327	2466585
1055	921929	441042
1056	923271	432474
1057	924419	3046331
1058	927282	1716307
1059	927936	800105
1060	928335	1172378
1061	928860	2090288
1062	929631	1409483
1063	931761	2137773
1064	932148	2898346
1065	932823	2891116
1066	932829	914285
1067	933583	2990793
1068	933773	2389020
1069	934700	2409305
1070	935012	2941456
1071	935012	451954
1072	935259	1914039
1073	936079	1465950
1074	936125	1268448
1075	936125	2068729
1076	936125	1268448
1077	936686	873767
1078	937447	1465979
1079	938147	2295658
1080	939373	1142335
1081	939429	3301005
1082	940566	2135691
1083	940603	1961049
1084	941710	2282461
1085	943196	943196
1086	944316	630198
1087	945077	959359
1088	945326	4441407
1089	945326	2458678
1090	947972	2891449
1091	948450	3353094
1092	951601	2404367
1093	952583	2248303
1094	954040	1683079
1095	955075	1140127
1096	955237	2319590
1097	957229	520196
1098	957863	2941978
1099	959359	2051484
1100	959373	2856929
1101	961919	3070174
1102	962134	292960
1103	962367	1637072
1104	963096	2850071
1105	965167	1950004
1106	965355	454838
1107	965718	1685605
1108	966507	1729450
1109	967406	173799
1110	967608	3564002
