id	paper_id	tag_id
0	1183	2678409
1	1183	3389995
2	1183	1727358
3	1183	1931968
4	1183	2884796
5	1269	754576
6	1269	2066914
7	1269	3491782
8	1269	172268
9	1269	686865
10	2110	2141415
11	2110	3093659
12	2110	2823243
13	2110	3093657
14	2110	1604915
15	2642	3663835
16	2642	1892701
17	2642	830626
18	4642	1426933
19	4642	655369
20	4642	1462279
21	5211	3051427
22	5211	1497364
23	5553	1373797
24	5553	1444230
25	5553	3250383
26	5553	2760169
27	5756	1189410
28	5783	1093338
29	5809	3286478
30	5809	1087667
31	5809	2006976
32	6058	1027069
33	6095	825694
34	6242	829222
35	6433	3372311
36	6433	339438
37	6433	991684
38	6713	508837
39	6713	864396
40	6713	3050753
41	6713	1344929
42	6715	1021683
43	8198	884855
44	8198	2872472
45	8202	1041467
46	8361	3210189
47	8361	678270
48	8361	2629916
49	8361	1297328
50	8456	3300590
51	8456	652873
52	8574	2750053
53	8574	1411106
54	9078	545148
55	9078	1745712
56	9078	645228
57	9647	1604154
58	9647	3164593
59	9690	230498
60	9690	3137454
61	9732	628727
62	9732	2007171
63	9732	2767487
64	9732	539639
65	9732	2966923
66	9738	36389
67	9738	2770210
68	9738	3479892
69	9738	2283924
70	9738	190506
71	10366	3706539
72	10366	187898
73	10366	1248553
74	10366	2451254
75	10426	35467
76	10426	2033468
77	10674	2441438
78	11211	2378476
79	11339	2601623
80	11339	1163397
81	11339	1832302
82	11339	2949972
83	11398	2245340
84	11398	1817982
85	11398	57429
86	11398	3145466
87	11752	1881189
88	11752	2810242
89	11752	2474880
90	11752	234770
91	11752	1285391
92	11765	2646660
93	12419	2204644
94	12419	2503340
95	12419	1788076
96	12602	1502511
97	12602	2816071
98	12602	2464655
99	12602	1456094
100	12602	735920
101	12605	945106
102	12605	1442103
103	12605	2483383
104	12605	1018087
105	12605	3623640
106	12618	2847711
107	12618	3380585
108	12618	3395667
109	12618	2651674
110	12618	195884
111	12750	629886
112	12750	1889865
113	12750	2077729
114	12750	2244451
115	12865	1839023
116	12865	2030399
117	13033	437047
118	13033	2358145
119	13033	3596878
120	13637	1805370
121	13637	2279260
122	13637	1604806
123	13693	990288
124	13693	1684957
125	13693	1342935
126	13693	3581710
127	13693	2517002
128	13869	280132
129	13939	1580962
130	13939	3730284
131	14237	3592578
132	14237	1050034
133	14237	1867936
134	14237	3271644
135	14237	1645323
136	14398	3237464
137	14398	2886116
138	14513	2544890
139	14513	3642705
140	14513	3642731
141	15034	3687037
142	15034	257324
143	15034	975488
144	15195	3641207
145	15337	3631188
146	15487	444534
147	15487	3574546
148	15487	925592
149	15487	3536811
150	15487	2644948
151	15628	3636319
152	15628	3156809
153	15628	135028
154	15887	3517014
155	15992	3485973
156	16039	1997062
157	16295	35658
158	16295	449201
159	16295	1362251
160	16295	3408060
161	16295	943417
162	16621	3273631
163	16621	849565
164	16666	3307141
165	16712	1464828
166	16779	718447
167	16779	1046832
168	16779	1575030
169	16779	3327608
170	16779	970583
171	17218	615114
172	17218	1927549
173	17218	3132969
174	17334	3624009
175	17334	2875480
176	17334	1891652
177	17334	1921177
178	17334	1267171
179	17386	2428319
180	17407	2965158
181	17795	375634
182	17795	1376799
183	17795	829537
184	17795	1507476
185	17795	1507388
186	17845	2727864
187	17967	3131678
188	18351	3321057
189	18351	864580
190	18378	2602362
191	18657	1079515
192	18657	2756334
193	18721	2101394
194	18721	456970
195	18740	2201176
196	18814	3152066
197	18827	2725434
198	18827	2744649
199	18939	2442134
200	18939	142913
201	18939	2442133
202	18939	3553878
203	19198	2627088
204	19561	1923853
205	19561	2100886
206	19659	1531837
207	19699	773563
208	19699	484130
209	19699	1547597
210	19699	330247
211	19699	547285
212	19804	2638387
213	19804	3054121
214	19804	1753735
