id	tag_name
6	0 0colorable
9	0 1
41	0 1matrix
43	0 1n
56	0 2
144	0 cell
184	0 delta
209	0 exactly
211	0 exists
258	0 infinity
285	0 le
310	0 mod
314	0 modulo
320	0 n
348	0 p
403	0 root
482	0 x
540	000 miles
632	001 degrees
785	0056 issue
812	008 pasml
887	01 fractional
893	01 gp
898	01 ilpbased
914	01 knapsack
943	01 mm
994	01 programming
995	01 programs
1107	013 hz
1120	013m sige
1169	016m cmos
1187	018 mu
1205	018m cmos
1221	01d distxy
1232	01integer programming
1364	025 degrees
1394	025m sige
1414	029 lambda
1469	03 ppm
1521	035mm x
1567	04 ms
1574	04 v
1636	05 15
1673	05 in05
1676	05 jitter
1686	05 level
1697	05 mm
1791	05m sige
1991	08 hz
2060	087 flood
2081	08m sige
2186	099 brats
2359	0normalized hmm
2417	0stability impulsive
2471	1 1
2500	1 1995
2527	1 1n
2537	1 2
2544	1 2006
2550	1 2014
2604	1 2qubit
2620	1 3
2743	1 b1
2757	1 beacon
2773	1 bitshz
2774	1 blas
2815	1 cell
2846	1 cm3
2883	1 constants
2916	1 criterion
2958	1 delta
2980	1 diabetes
3003	1 distortion
3038	1 edges
3066	1 epsilonapproximate
3080	1 eq
3100	1 every
3115	1 explicitly
3183	1 g
3233	1 h
3238	1 hahead
3260	1 host
3271	1 hz
3288	1 increase
3313	1 internode
3326	1 j
3329	1 jg
3357	1 km
3388	1 ldots
3410	1 lim
3472	1 mbps
3494	1 mhz
3506	1 minute
3511	1 mm
3517	1 mod
3544	1 mu
3560	1 n
3600	1 norm
3632	1 ogr1
3656	1 p
3767	1 problem
3804	1 qminihypers
3823	1 r
3832	1 real
3910	1 samplesymbol
3933	1 separation
3973	1 sourceheavy
3987	1 splines
4001	1 storder
4002	1 stprice
4015	1 subset
4070	1 total
4091	1 u
4108	1 univex
4113	1 use
4120	1 v
4127	1 validation
4139	1 version
4170	1 without
4179	1 x
4180	1 x1
4197	1 z
4213	10 11
4308	10 billion
4334	10 classes
4338	10 cm
4381	10 different
4383	10 dimensions
4399	10 erlangs
4443	10 gbs
4454	10 graspa
4472	10 hours
4475	10 hz
4519	10 kv
4563	10 mbps
4578	10 min
4600	10 ms
4663	10 pipeline
4672	10 ppm
4753	10 stations
4757	10 subjects
4781	10 times
4817	10 watt
4829	10 years
4997	100 gbits
4998	100 gbps
5000	100 gbs
5041	100 kilobots
5091	100 mhz
5122	100 nm
5197	100 resting
5202	100 routability
5217	100 si
5235	100 subjects
5254	100 throughput
5284	100 w
5318	1000 degrees
5335	1000 genomes
5342	1000 hz
5386	1000 songs
5394	1000 v
5527	100g ethernet
5538	100gbaselr4 application
5610	100mev au8
5634	100nm 70nm
5701	1010 pa
5711	101007s1159001002720 2011
5735	1015 cm2
5743	1016 mm
5880	103 km2
5892	103 specific
5961	1040 gige
5978	104indiagonal 4096color
5985	105 cellsml
6002	105 mhz
6016	105 th
6049	106 ghz
6085	106ghz ultrawideband
6088	107 187
6102	107 gbs
6138	108 m3
6213	10b selfdifferential
6215	10b5 securities
6239	10bit 200mss
6250	10bit 550fs
6264	10bit currentsteering
6275	10bit resolution
6293	10db 20db
6334	10gbaset transceiver
