id	raw	isbn	publisher	issn
1	IGARSS			
2	ICDAR-1			
3	ISCAS (3)	0-7803-8834-8		
5	SIGGRAPH Computer Animation Festival			
7	NEMS			
9	RoboCup 2009	3-540-42185-8		
10	AINA Workshops			
13	Math. Comput.			
14	IEICE Transactions	0-7803-8633-7		The American Journal of Surgery
15	HotNets			Developments in Sedimentology
16	COMPSAC	0-7695-1727-7		
17	FG			0931-0509
18	J. Philosophical Logic			0032-5821
21	IWDC	3-540-24076-4		
23	Annals OR	0-7695-3080-X		0007-1161
24	NCA			
25	AMCIS			
26	ARTCom			
27	WAFR			
28	Advances in Computer Entertainment Technology			
32	Informatik Spektrum			
34	IEEE T. Cybernetics			
36	Complexity			
37	Comput. J.			
39	Educational Technology & Society			
41	Datenschutz und Datensicherheit			1862-2607
42	KI			
45	Bulletin of the EATCS			
47	IEEE Security & Privacy			
49	Mathematics and Computers in Simulation	1-59140-106-2		2187-137X
56	Formal Methods in System Design	0-262-52261-6		1678-8060
59	J. Sci. Comput.	0-7695-2566-0		2187-137X
62	Notre Dame Journal of Formal Logic			
63	ACM SIGSOFT Software Engineering Notes			
64	IEEE Trans. Knowl. Data Eng.	0-7484-0127-X		0044-0086
72	Commun. ACM			0036-8075
74	Commun. ACM			
75	Journal of Intelligent and Robotic Systems			1873-3573
77	Annales des Télécommunications			0889-8561
80	WDAG	3-540-58449-8		0036-8075
81	IEEE Symposium on Security and Privacy	0-8186-0467-0		
82	DCC	0-7695-1896-6		
83	SIGART Newsletter			
84	Int. J. Found. Comput. Sci.			1053-8135
85	EJIS			0267-0623
86	J. Comb. Theory, Ser. B			Journal of Combinatorial Theory, Series B
87	SIGGRAPH Educators Program			
88	Sci. Comput. Program.			International Review of Neurobiology
90	J. Network Syst. Manage.			
93	ACM Trans. Database Syst.	978-1-4577-0662-2		0002-9572
94	POPL			0362-1340
95	ISI	6130040814		
96	SIGGRAPH ASIA Art Gallery			
97	Graph Drawing			
100	Discrete Applied Mathematics			0166-218X
103	Graphs and Combinatorics			1471-0528
104	Digital Technical Journal	978-1-4673-0845-8		0743-1562 E-ISBN : 978-1-4673-0845-8
105	Computers & OR			Advances in Geophysics
108	IEICE Transactions	978-1-4673-0701-7		Disease-a-Month
109	AI Magazine			
111	CoRR			
113	Ad Hoc & Sensor Wireless Networks	978-1-4673-1569-2		1095-6859
114	Theory Comput. Syst.			International Review of Research in Mental Retardation
115	Praxis der Informationsverarbeitung und Kommunikation			
117	IEEE Expert			0091-3847
118	Wirtschaftsinformatik			Computers & Security
119	Interactions			
120	Optimization Methods and Software	978-1-4673-1754-2		2156-7921
123	Ann. Math. Artif. Intell.			0035-9157
124	Computers & Industrial Engineering		Elsevier Ltd	Advances in Geophysics
134	FO & DM			1532-5520
135	VLSIC			Prostaglandins and Other Lipid Mediators
137	Intelligent Automation & Soft Computing			1873-622X
138	NIME			
139	ICCCN			
144	VTS			International Journal of Mass Spectrometry
145	Eur. J. Comb.			Current Problems in Pediatric and Adolescent Health Care
146	Computers & Chemical Engineering			Current Problems in Surgery
147	CyCon			0008-4409
150	Description Logics			
152	Expert Systems			
153	CLEF (Working Notes)			0021-9673
155	FDG			1873-7862
157	Fuzzy Sets and Systems	978-1-4673-5557-5		1096-2867
159	SIGGRAPH Abstracts and Applications			
160	Bildverarbeitung für die Medizin			
161	Nucleic Acids Research			
162	Nucleic Acids Research			
165	IS Management			
166	Machine Translation			
167	J. Philosophical Logic			
193	SIGGRAPH Art Gallery			
194	Cryptologia	0-89006-253-6		
195	Theor. Comput. Sci.			0036-8075
199	J. Autom. Reasoning			
200	Softw., Pract. Exper.			
202	SIGGRAPH Emerging Technologies	1-58113-896-2		
203	SERVICES I			Handbook of Hope
204	WWW			
205	IJCAI	0-934613-02-8		
206	IEEE Software			
209	IEEE Transactions on Neural Networks			
210	Comput. Graph. Forum			
212	Theory in Biosciences			1431-7613
213	Math. Meth. of OR			Frauenheilkunde
216	I. J. Robotic Res.			
219	SIGPLAN Notices			
222	Synthese			
223	CW			
224	ICPP Workshops			
225	NIPS			
226	Periodica Mathematica Hungarica			Newnes Electrical Power Engineer's Handbook
227	Encyclopedia of Social Network Analysis and Mining	0471887374		Marine Pollution Bulletin
235	SIGMOD Conference	0-89791-995-5		
242	Journal of Systems and Software	1-58603-687-4		0278-0062
245	IEEE Computer Graphics and Applications			
247	WG	3-540-59071-4		
248	Category Theory and Computer Science	3-540-51662-X		
250	VL	0-7695-2882-1		0035-9157
251	SIGMOD Conference	1-58113-859-8		
252	Discrete & Computational Geometry			
254	SIGGRAPH Posters			
255	Computers in Human Behavior			L'Encephale
257	Cognition, Technology & Work			
258	W4A			
260	ACL (Tutorial Abstracts)			
261	SERVICES			
264	Electr. Notes Theor. Comput. Sci.			
267	Computing in Science and Engineering			Neurology and Clinical Neuroscience
269	Inform., Forsch. Entwickl.			0949-2925
272	VLSI Signal Processing			0922-5773
274	Int. J. on Digital Libraries			
275	CIG			
277	Journal of Object Technology			
297	Inf. Process. Manage.	0-7695-1894-X		0093-691X
302	J. Scheduling			Nuclear Inst. and Methods in Physics Research, B
303	Eur. J. Comb.			Journal of Molecular Liquids
306	Virtual Reality			1434-9957
315	Discrete Mathematics			International Review of Neurobiology
320	The Journal of Supercomputing			Journal of Mathematical Analysis and Applications
321	INLG			
323	INTERSPEECH			Journal of Terramechanics
326	Journal of Approximation Theory			Dental Clinics of North America
328	USENIX Annual Technical Conference			
331	Dublin Core Conference			III-Vs Review
341	Hypertext 1999	0-89791-778-2		0048-9123
346	Artif. Intell. Rev.			Archives of Gerontology and Geriatrics
347	SIGGRAPH	1-58113-208-5		
348	Speech Communication			Water Research
349	OR Insight			Transactions of the Royal Society of Tropical Medicine and Hygiene
352	J. Log. Comput.			Vision Research
353	Computer Communications			1660-5535
354	JASIST			
355	SIAM Review			Computers & Graphics
356	Minds and Machines			0090-0036
358	IEEE Internet Computing			
361	SIAM Review			Geochimica et Cosmochimica Acta
363	ACM Multimedia	1-58113-722-2		
365	Int. J. Comput. Math.			1230-1612
366	SIGGRAPH Posters	1-58113-896-2		
367	Pattern Recognition			Pattern Recognition
368	GeoInformatica			Surgical Neurology
369	IEEE Micro			0036-8075
371	IJPRAI			0305-0548
372	J. ACM			
373	AAAI			
376	Math. Program.			Journal of Magnetic Resonance (1969)
379	IEEE Transactions on Information Forensics and Security			
380	Comp. and Biomed. Research			1328-0384
383	Creativity & Cognition			
385	Digital Investigation			1864-1245
386	Computer Vision, Graphics and Image Processing		Elsevier B.V.	0148-7299
388	J. Integrative Bioinformatics			 0278-0070 
389	IEEE Geosci. Remote Sensing Lett.			1865-2654
390	Biological Cybernetics			Biochemical and Biophysical Research Communications
391	Inf. Res.			Nuclear Inst. and Methods in Physics Research, B
393	Decision Support Systems			Nuclear Inst. and Methods in Physics Research, B
394	Information & Management		Elsevier B.V.	2053-8790
396	Integration			0065-955X
399	Computational Intelligence			
400	Cognitive Science			Microelectronics Journal
402	IEEE Transactions on Information Theory			0960-7439
403	J. Classification			0022-5002
404	MVHI			
409	Dagstuhl Seminar on Parallelization in Inference Systems	3-540-55425-4		
411	Int. J. Machine Learning & Cybernetics			0009-4293
413	Computers & Graphics			Journal of Wind Engineering & Industrial Aerodynamics
414	International Journal of Geographical Information Science			0040-5752
416	Software Quality Journal			0033-0205
417	Formal Asp. Comput.			1095-9947
418	Journal of Visualization and Computer Animation			1858-554X
419	Int J. Information Management			0095-3628
420	Operations Research			Annals of Botany
424	JASIS			Geochimica et Cosmochimica Acta
425	Discrete Applied Mathematics			Geochimica et Cosmochimica Acta
427	JASIS			1502-7708
428	Signal Processing			Geoexploration
429	Inf. Res.			0065-955X
